Name,pos,Superstar?,passive? ,Run Bonus,Short Pass ,Deep Pass,Stamina,Grit,Target,BonusAmount,affected stat,ConditionClass,Parameters,oper,Tags
Yuri Owen,DL,,If you have more DL stars than offense has OL stars reduce run by 4,4,0,0,10,2,,,,,,,STARQTY RUN DEFPOS
Zach Henderson,DL,,"if you have more DL than offense has OL, 3 stars = sack on pass play",0,3,1,10,1,,,,,,,SP
Alan Russell,DL,,"if your grit is higher, run bonus +3",3,0,0,12,4,,,,,,,GRIT RUN STARQTY
Brandon Perry,DL,,,0,0,5,10,1,,,,,,,DP DISCARD
Cameron Yates,DL,,,3,0,0,10,1,,,,,,,SLOTMANIP RUN
Darius Underwood,DL,,If you have a LB on the field reduce short pass by 2,2,2,0,10,1,,,,,,,SP RUN
William Adams,LB,,"If your total star players is at least 2 more than offense, deep pass bonus +2",0,4,0,10,2,,,,,,,STARQTY SP
Xavier Morris,LB,,If offense runs on consecutive downs reduce the second run by 3,3,0,0,10,3,,,,,,,RUN SEQ
Yosef Garcia,LB,,"If RB on field has 5 or fewer stamina, run bonus +2",2,0,0,10,1,,,,,,,DEFPOS RUN
Zachary Bell,LB,Yes, grit is tied or higher short pass bonus +5,1,3,1,12,3,,,,,,,GRIT SP STARQTY
Allan Boyd,LB,,"if there are 5 or less plays remaining in the half, short pass has 30% chance to fumble",1,2,0,10,1,,,,,,,SP FUMBLE
Bruce Cunningham,LB,,reduce 1 stamina of receiver on completed short passes ,2,1,0,10,2,,,,,,,
Corey Wolfe,LB,,If you have 2 + LBs in play add 2 grit,2,1,0,10,2,,,,,,,STARQTY GRIT
Dylan James,LB,,"If offense discards a card, reduce next pass by 3",2,2,0,10,1,,,,,,,DISCARD
Eli Cohen,LB,,10% chance to reduce one stamina of receiver with highest deep pass bonus,0,4,0,10,1,,,,,,,SP CHARGE
Fred Holland,LB,,If offense calls a trick play you may discard 1 card to negate it once per half,2,2,0,10,1,,,,,,,SLOTMANIP DISCARD
Gordon Ward,LB,,On 4th down if pass is incomplete add 2 to your grit,1,2,1,10,2,,,,,,,GRIT DOWN
Harvey Lambert,LB,,If your grit is lower you may add 1 grit each time you see a star icon this drive,0,2,0,10,1,,,,,,,GRIT STARQTY
Ian Cox,LB,,If a TE is not on field reduce short pass by 3,1,2,0,10,3,,,,,,,SP RUN
Joseph Fuller,LB,,If you have 3 or more LB on the field reduce run by 4,4,0,0,10,2,,,,,,,RUN DEFPOS
Kyle Nguyen,LB,,If a pass nets 15 or more yards once per drive remove 2 stamina from that WR,0,2,0,10,1,,,,,,,KNOCKOUT SP
Nicholas Payne,LB,,+2 pass bonuses on 1st down,0,2,1,10,1,,,,,,,DOWN SP
